name,images

"New York City, USA","[{'position': 1, 'thumbnail': 'https://serpapi.com/searches/6311fe7217f923429abdbfbc/images/93c309d5783bd3e081a5d31e4c3de9c359abb268223a0243e5b31d82e468239b.jpeg', 'source': 'cunard.com', 'title': 'New York, USA', 'link': 'https://www.cunard.com/de-de/ports/new-york-usa', 'original': 'https://www.cunard.com/content/dam/cunard/inventory-assets/ports/NYC/NYC.jpg.1533901569566.image.750.563.low.jpg', 'is_product': False}, {'position': 2, 'thumbnail': 'https://serpapi.com/searches/6311fe7217f923429abdbfbc/images/93c309d5783bd3e0cea9872cc52bdeff0b092bc6d4845a994705be7abc2358d0.jpeg', 'source': 'en.wikipedia.org', 'title': 'New York City - Wikipedia', 'link': 'https://en.wikipedia.org/wiki/New_York_City', 'original': 'https://upload.wikimedia.org/wikipedia/commons/thumb/7/78/Fast-Paced_Streets_of_New_York_City.jpg/220px-Fast-Paced_Streets_of_New_York_City.jpg', 'is_product': False}, {'position': 3, 'thumbnail': 'https://serpapi.com/searches/6311fe7217f923429abdbfbc/images/93c309d5783bd3e0d2224bad7e296c43654ae8b10f0aba6e1f6e953927e4287c.jpeg', 'source': 'de.dreamstime.com', 'title': 'Times Square, New York City, USA. Redaktionelles Stockbild - Bild von  limousine, architektur: 24288839', 'link': 'https://de.dreamstime.com/lizenzfreie-stockbilder-times-square-new-york-city-usa-image24288839', 'original': 'https://thumbs.dreamstime.com/z/times-square-new-york-city-usa-24288839.jpg', 'is_product': True}, {'position': 4, 'thumbnail': 'https://serpapi.com/searches/6311fe7217f923429abdbfbc/images/93c309d5783bd3e07597a6dfda285b9b064e0a1cd6ae877cdfa79ba8a60ee3a6.jpeg', 'source': 'de.wikipedia.org', 'title': 'New York City – Wikipedia', 'link': 'https://de.wikipedia.org/wiki/New_York_City', 'original': 'https://upload.wikimedia.org/wikipedia/commons/9/9d/NYC_Montage_2014_4_-_Jleon.jpg', 'is_product': False}, {'position': 5, 'thumbnail': 'https://serpapi.com/searches/6311fe7217f923429abdbfbc/images/93c309d5783bd3e004594d263e9bfd14670749ffc9654233e206e471ce28c50d.jpeg', 'source': 'studyusa.com', 'title': 'A New York State of Mind… Exploring The City That Never Sleeps', 'link': 'https://www.studyusa.com/en/blog/590/a-new-york-state-of-mind-exploring-the-city-that-never-sleeps', 'original': 'https://1.bp.blogspot.com/-klHXHFbBkcg/Vh_oH8aFeyI/AAAAAAAADkI/WvdVpR4LWTc/s1600/CORT-NYC-StudyUSA07.jpg', 'is_product': False}]"

"Antalya, Turkey","[{'position': 1, 'thumbnail': 'https://serpapi.com/searches/6311fe75a5ad6d970d815c88/images/e5301bfa4d3b83a3b02cc9715c53d4cf9e89f2802e2e730fb794093cac739413.jpeg', 'source': 'traveloffpath.com', 'title': '5 Reasons Why Antalya, Turkey Is The Perfect Summer Destination For 2022 -  Travel Off Path', 'link': 'https://www.traveloffpath.com/5-reasons-why-antalya-turkey-is-the-perfect-summer-destination-for-2022/', 'original': 'https://www.traveloffpath.com/wp-content/uploads/2022/05/View-Of-Antalya-Old-Town-Kaleici-Antalya-Turkey-1.jpg', 'is_product': False}, {'position': 2, 'thumbnail': 'https://serpapi.com/searches/6311fe75a5ad6d970d815c88/images/e5301bfa4d3b83a378a760424af4211c69aa8128504e6c13d79479479a66e804.jpeg', 'source': 'azamara.com', 'title': 'Antalya, Turkey | Azamara', 'link': 'https://www.azamara.com/antalya-turkey-cruises', 'original': 'https://www.azamara.com/sites/default/files/heros/antalya-turkey-1800x1000.jpg', 'is_product': False}, {'position': 3, 'thumbnail': 'https://serpapi.com/searches/6311fe75a5ad6d970d815c88/images/e5301bfa4d3b83a3874581f51958737e3a546e6555f036a278ed20d83653a68f.jpeg', 'source': 'worldtravelguide.net', 'title': 'Antalya beaches travel guide', 'link': 'https://www.worldtravelguide.net/guides/europe/turkey/antalya-beaches/', 'original': 'https://www.worldtravelguide.net/wp-content/uploads/2017/03/shu-Turkey-Antalya-282756389-Tatiana-Popova-copy.jpg', 'is_product': False}, {'position': 4, 'thumbnail': 'https://serpapi.com/searches/6311fe75a5ad6d970d815c88/images/e5301bfa4d3b83a39fc6a022aa0e2eb36290d943681cf38b2004ad91d740fc1b.jpeg', 'source': 'tripadvisor.com', 'title': 'Antalya, Turkey 2022: Best Places to Visit - Tripadvisor', 'link': 'https://www.tripadvisor.com/Tourism-g297962-Antalya_Turkish_Mediterranean_Coast-Vacations.html', 'original': 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/17/94/3a/7d/outdoor-pool.jpg?w=600&h=400&s=1', 'is_product': False}, {'position': 5, 'thumbnail': 'https://serpapi.com/searches/6311fe75a5ad6d970d815c88/images/e5301bfa4d3b83a320319f3816d20f9a2a2adfa143eb94d49632743d47db54ca.jpeg', 'source': 'melares.com', 'title': 'Antalya Turkey: Mysterious Places to Visit - Travel Guide 2021 | MELARES', 'link': 'https://www.melares.com/en/blog/contents/antalya-turkey', 'original': 'https://www.melares.com/uploads/antalya-turkey749395439.jpg', 'is_product': False}]"

"Mumbai, India","[{'position': 1, 'thumbnail': 'https://serpapi.com/searches/6311fe7a437af204c2298dd8/images/2434ad5f9e889c358a18c7ea64a87b311d8709c56614fa7ce9bfc1314b398a92.jpeg', 'source': 'britannica.com', 'title': 'Mumbai | India | Britannica', 'link': 'https://www.britannica.com/place/Mumbai', 'original': 'https://cdn.britannica.com/26/84526-050-45452C37/Gateway-monument-India-entrance-Mumbai-Harbour-coast.jpg', 'is_product': False}, {'position': 2, 'thumbnail': 'https://serpapi.com/searches/6311fe7a437af204c2298dd8/images/2434ad5f9e889c357e174c8408dd19824b4aeef4e1574f3ac660f7559293df16.jpeg', 'source': 'britannica.com', 'title': 'Mumbai | India | Britannica', 'link': 'https://www.britannica.com/place/Mumbai', 'original': 'https://cdn.britannica.com/98/189798-050-127BC97E/Dhobi-Ghat-laundromat-India-Mumbai.jpg', 'is_product': False}, {'position': 3, 'thumbnail': 'https://serpapi.com/searches/6311fe7a437af204c2298dd8/images/2434ad5f9e889c356e70704824cbc196c127aec4c7adcfc60feaba787978ab78.jpeg', 'source': 'unequalscenes.com', 'title': 'Unequal Scenes - Mumbai', 'link': 'https://unequalscenes.com/mumbai', 'original': 'https://cdn.myportfolio.com/7110bd9a9c83d97ed90b4758be565c85/7cf65034-0bca-420c-a47b-dbf276a82c66_rw_1920.jpg?h=950959047a23106dea7d062e47d92ee7', 'is_product': False}, {'position': 4, 'thumbnail': 'https://serpapi.com/searches/6311fe7a437af204c2298dd8/images/2434ad5f9e889c351585735b77594b62c23d9b4d8a3d07df5d99bb21e9ab4539.jpeg', 'source': 'en.wikipedia.org', 'title': 'Mumbai - Wikipedia', 'link': 'https://en.wikipedia.org/wiki/Mumbai', 'original': 'https://upload.wikimedia.org/wikipedia/commons/1/14/Mumbai_Skyline_at_Night.jpg', 'is_product': False}, {'position': 5, 'thumbnail': 'https://serpapi.com/searches/6311fe7a437af204c2298dd8/images/2434ad5f9e889c35b24ae83365bcabf775aa3fdf05e9113d5f31960d3e7d86e9.jpeg', 'source': 'whereig.com', 'title': 'Where is Mumbai, India? Where is Mumbai India Located', 'link': 'https://www.whereig.com/india/mumbai-location-map.html', 'original': 'https://www.whereig.com/images/cities/mumbai-location-map.jpg', 'is_product': False}]"

"Shenzhen, China","[{'position': 1, 'thumbnail': 'https://serpapi.com/searches/6311fe7c607393623c2de9e7/images/c001d0a6a9ed4d3022bcfb7f367dd015d11bafe90e5ad1251ca7237cb756ea9c.jpeg', 'source': 'en.wikipedia.org', 'title': 'Shenzhen - Wikipedia', 'link': 'https://en.wikipedia.org/wiki/Shenzhen', 'original': 'https://upload.wikimedia.org/wikipedia/commons/c/ce/Skyline_KK101%26Shun_Hing_Square2021.jpg', 'is_product': False}, {'position': 2, 'thumbnail': 'https://serpapi.com/searches/6311fe7c607393623c2de9e7/images/c001d0a6a9ed4d307f2580b99a1ba73028c7787b505345f42fd0b3bbd839c4de.jpeg', 'source': 'kayak.com', 'title': 'Shenzhen Travel Guide | Shenzhen Tourism - KAYAK', 'link': 'https://www.kayak.com/Shenzhen.9007.guide', 'original': 'https://content.r9cdn.net/rimg/dimg/d6/b4/fd470797-city-9007-16886833eb0.jpg?crop=true&width=1020&height=498', 'is_product': False}, {'position': 3, 'thumbnail': 'https://serpapi.com/searches/6311fe7c607393623c2de9e7/images/c001d0a6a9ed4d3084a0ea8100c5338209c5188d7144dfb3345f1c1df614a49d.jpeg', 'source': 'jingdaily.com', 'title': 'shenzhen-china-hong-kong-chinese-luxury | Jing Daily', 'link': 'https://jingdaily.com/shenzhen-china-hong-kong-chinese-luxury/', 'original': 'https://jingdaily.com/wp-content/uploads/2020/09/shenzhen-china-hong-kong-chinese-luxury.jpg', 'is_product': False}, {'position': 4, 'thumbnail': 'https://serpapi.com/searches/6311fe7c607393623c2de9e7/images/c001d0a6a9ed4d30f67c8bcdfdfbdfcb2b14ef289f68f71a97b9e0b03e658bf9.jpeg', 'source': 'travelandleisure.com', 'title': ""Shenzhen Is China's Most Fascinating City"", 'link': 'https://www.travelandleisure.com/culture-design/shenzhen-china-culture', 'original': 'https://www.travelandleisure.com/thmb/AiRX5ViK-Rd7KQ0vGRi_r5hER2Y=/1600x1000/filters:fill(auto,1)/shenzhen-china-skyline-SHENZHEN0617-dfa9c29ffe2e44dd88359489fd643678.jpg', 'is_product': False}, {'position': 5, 'thumbnail': 'https://serpapi.com/searches/6311fe7c607393623c2de9e7/images/c001d0a6a9ed4d308167144013c4b61f16e7c18f4684b9a57bb8465aacb1c9ed.jpeg', 'source': 'en.wikipedia.org', 'title': 'Futian District - Wikipedia', 'link': 'https://en.wikipedia.org/wiki/Futian_District', 'original': 'https://upload.wikimedia.org/wikipedia/commons/e/e3/Commercial_area_of_futian_to_east2020.jpg', 'is_product': False}]"

"Phuket, Thailand","[{'position': 1, 'thumbnail': 'https://serpapi.com/searches/6311fe7fcace96494068f291/images/926f933040905c5b3fde8c00c68b80c7a475fefd20f19aa4a1e833429986b689.jpeg', 'source': 'planetware.com', 'title': '15 Top-Rated Attractions & Things to Do on Phuket Island | PlanetWare', 'link': 'https://www.planetware.com/thailand/phuket-island-tha-pk-pkp.htm', 'original': 'https://www.planetware.com/photos-large/THA/phuket-island.jpg', 'is_product': False}, {'position': 2, 'thumbnail': 'https://serpapi.com/searches/6311fe7fcace96494068f291/images/926f933040905c5b02a879501329c5c7e863206b997c03478ec3bab320312ab2.jpeg', 'source': 'travelandleisure.com', 'title': 'A Guide to Vacationing on Phuket', 'link': 'https://www.travelandleisure.com/trip-ideas/island-vacations/phuket-thailand-travel-guide', 'original': 'https://www.travelandleisure.com/thmb/xtwvKaGjqW3rZHSZ6Ms6pI8wTvA=/1600x1000/filters:fill(auto,1)/phuket-thailand-karst-formation-phuket0327-92bd3ce9266148dba74cba5e36c711e2.jpg', 'is_product': False}, {'position': 3, 'thumbnail': 'https://serpapi.com/searches/6311fe7fcace96494068f291/images/926f933040905c5ba512edf85bcb079d2a2acd88a377bcb70b09dd9b4f942cfe.jpeg', 'source': 'willflyforfood.net', 'title': 'Visit Phuket: Travel Guide to Thailand (2022) | Will Fly for Food', 'link': 'https://www.willflyforfood.net/the-first-timers-travel-guide-to-phuket-thailand/', 'original': 'https://www.willflyforfood.net/wp-content/uploads/2019/08/phuket-travel-guide-2020.jpg', 'is_product': False}, {'position': 4, 'thumbnail': 'https://serpapi.com/searches/6311fe7fcace96494068f291/images/926f933040905c5bfc57d5b68db8f75026101be26e9ae0ac8d38ed16b013bad7.jpeg', 'source': 'marieclaire.com', 'title': 'Phuket Thailand Travel Guide | Marie Claire', 'link': 'https://www.marieclaire.com/travel/a37949557/phuket-thailand-travel-guide/', 'original': 'https://cdn.mos.cms.futurecdn.net/ktSWtwFU9hDEvrMxYzQGZm.jpg', 'is_product': False}, {'position': 5, 'thumbnail': 'https://serpapi.com/searches/6311fe7fcace96494068f291/images/926f933040905c5b0cad05acefb7a90537c49b2ea298f625aaad900969d99fee.jpeg', 'source': 'youtube.com', 'title': 'Keemala Phuket Resort & Spa: a fabulous jungle hotel (full tour) - YouTube', 'link': 'https://www.youtube.com/watch?v=rMy33bi4hpo', 'original': 'https://i.ytimg.com/vi/rMy33bi4hpo/maxresdefault.jpg', 'is_product': True}]"

"Tokyo, Japan","[{'position': 1, 'thumbnail': 'https://serpapi.com/searches/6311fe8394fb0365cf1becaf/images/2c958c09f8e204f2b8502cbf13465e5c26d29f4026f78c0513f86627a9174bf0.jpeg', 'source': 'theplanetd.com', 'title': 'The Best Things to do in Tokyo, Japan - The Planet D', 'link': 'https://theplanetd.com/best-things-to-do-in-tokyo/', 'original': 'https://theplanetd.com/images/Best-Things-to-do-in-Tokyo-Japan-1.jpg', 'is_product': False}, {'position': 2, 'thumbnail': 'https://serpapi.com/searches/6311fe8394fb0365cf1becaf/images/2c958c09f8e204f26e54591cf9701c24f2baa75f658ae935e76e3184d58269ab.jpeg', 'source': 'insider.com', 'title': 'Tokyo, Japan, Was Named the Best City to Visit in 2019', 'link': 'https://www.insider.com/tokyo-japan-named-best-big-city-travel-2019-10', 'original': 'https://i.insider.com/5d26280921a86107bb51bd92?width=700', 'is_product': False}, {'position': 3, 'thumbnail': 'https://serpapi.com/searches/6311fe8394fb0365cf1becaf/images/2c958c09f8e204f27c6d836fdb70f653e0ca1592ede4156680fc18ae331eeea5.jpeg', 'source': 'travelandleisure.com', 'title': 'Tokyo Travel Guide - Vacation & Trip Ideas', 'link': 'https://www.travelandleisure.com/travel-guide/tokyo', 'original': 'https://www.travelandleisure.com/thmb/midkk_ajNn3-uRAb9jRs2OxE6ac=/1200x1200/smart/filters:no_upscale()/tokyo-japan-TOKYOTG0621-52012ff551dc46c4a87ac8e3151307a4.jpg', 'is_product': False}, {'position': 4, 'thumbnail': 'https://serpapi.com/searches/6311fe8394fb0365cf1becaf/images/2c958c09f8e204f2002107954b462dd8e5f0095c5d671e04c3d0efa487cbf566.jpeg', 'source': 'jw-webmagazine.com', 'title': '15 Best Places to See Cherry Blossoms in Tokyo - Japan Web Magazine', 'link': 'https://jw-webmagazine.com/12-best-places-to-see-cherry-blossoms-in-tokyo-70093a736730/', 'original': 'https://jw-webmagazine.com/wp-content/uploads/2019/06/jw-5d15da96c49484.64193252.jpeg', 'is_product': False}, {'position': 5, 'thumbnail': 'https://serpapi.com/searches/6311fe8394fb0365cf1becaf/images/2c958c09f8e204f27ab15aad4ed040a53036da08002a9934292ee5396ce5ff39.jpeg', 'source': 'livejapan.com', 'title': ""6 Crazy Facts About Tokyo's Population (2021) - Inside the World's Top  Megacity | LIVE JAPAN travel guide"", 'link': 'https://livejapan.com/en/in-tokyo/in-pref-tokyo/in-tokyo_suburbs/article-a0002533/', 'original': 'https://rimage.gnst.jp/livejapan.com/public/article/detail/a/00/02/a0002533/img/basic/a0002533_main.jpg?20210122155600&q=80&rw=750&rh=536', 'is_product': False}]"

"Rome, Italy","[{'position': 1, 'thumbnail': 'https://serpapi.com/searches/6311fe86681ebe9fcf6b3da9/images/62f2b3391039cfd1df617eb5204b2ee3e554c8b084096b27858d71ccd58c96ce.jpeg', 'source': 'parade.com', 'title': 'Top 10 Sights to See in Rome, Italy - Parade: Entertainment, Recipes,  Health, Life, Holidays', 'link': 'https://parade.com/640010/scott-steinberg/top-10-sights-to-see-in-rome-italy/', 'original': 'https://parade.com/.image/t_share/MTkwNTc4Mzg4NTYyODE0ODQ0/colosseum-in-rome-and-morning-sun-italy.jpg', 'is_product': False}, {'position': 2, 'thumbnail': 'https://serpapi.com/searches/6311fe86681ebe9fcf6b3da9/images/62f2b3391039cfd1da0f6e34fb228874538f128416b0655f8410e1125e182cef.jpeg', 'source': 'fullsuitcase.com', 'title': '23 TOP Sights & BEST Things to Do in Rome, Italy (+Map, Photos & Info)', 'link': 'https://fullsuitcase.com/rome-best-things-to-do/', 'original': 'https://fullsuitcase.com/wp-content/uploads/2022/01/Best-things-to-do-in-Rom-Italy.jpg.webp', 'is_product': False}, {'position': 3, 'thumbnail': 'https://serpapi.com/searches/6311fe86681ebe9fcf6b3da9/images/62f2b3391039cfd191bca1ad477d3fae205a744cdb838c54153c4d9f89553252.jpeg', 'source': 'thediaryofanomad.com', 'title': '3 Days in Rome: The Best Rome Itinerary (From a Local!)', 'link': 'https://www.thediaryofanomad.com/rome-for-3-days/', 'original': 'https://www.thediaryofanomad.com/wp-content/w3-webp/uploads/2020/11/rome-for-3-days-in-rome-itinerary-vatican-dome-view.jpgw3.webp', 'is_product': False}, {'position': 4, 'thumbnail': 'https://serpapi.com/searches/6311fe86681ebe9fcf6b3da9/images/62f2b3391039cfd10161b27f4457483df03e44f390c8a88f6b8194cd1f3c90fd.jpeg', 'source': 'historyextra.com', 'title': ""Historical Travel Tips for Rome, Italy's ancient capital | HistoryExtra"", 'link': 'https://www.historyextra.com/period/roman/my-favourite-place-rome-italy/', 'original': 'https://images.immediate.co.uk/production/volatile/sites/7/2019/04/GettyImages-639554952-049bb2d.jpg?resize=620,413?quality=90&resize=620,414', 'is_product': False}, {'position': 5, 'thumbnail': 'https://serpapi.com/searches/6311fe86681ebe9fcf6b3da9/images/62f2b3391039cfd1a26fe95510befef9849f449ca65befc10c56a672b0c8edb9.jpeg', 'source': 'theculturetrip.com', 'title': 'Reasons Everyone Should Visit Rome, Italy, at Least Once', 'link': 'https://theculturetrip.com/europe/italy/articles/10-reasons-everyone-should-visit-rome-at-least-once/', 'original': 'https://img.theculturetrip.com/wp-content/uploads/2021/06/ehpgxx-1.jpg', 'is_product': False}]"

"Agra, IndiaÂ ","[{'position': 1, 'thumbnail': 'https://serpapi.com/searches/6311fe8f272aa519a9e0fce8/images/8b71f15ddfda77a2fd7d298774fd240507d5a266c9b24dee3a1589b1bd15897d.jpeg', 'source': 'en.wikipedia.org', 'title': 'Agra - Wikipedia', 'link': 'https://en.wikipedia.org/wiki/Agra', 'original': 'https://upload.wikimedia.org/wikipedia/commons/b/bd/Taj_Mahal%2C_Agra%2C_India_edit3.jpg', 'is_product': False}, {'position': 2, 'thumbnail': 'https://serpapi.com/searches/6311fe8f272aa519a9e0fce8/images/8b71f15ddfda77a2dea2fb1777a919ba8500c9e01569697ec3146bb9d75f1460.jpeg', 'source': 'kayak.com', 'title': 'Agra Travel Guide | Agra Tourism - KAYAK', 'link': 'https://www.kayak.com/%C4%80gra.29118.guide', 'original': 'https://content.r9cdn.net/rimg/dimg/f5/e5/a45c961d-city-29118-164803dbdc7.jpg?width=1366&height=768&xhint=1708&yhint=561&crop=true', 'is_product': False}, {'position': 3, 'thumbnail': 'https://serpapi.com/searches/6311fe8f272aa519a9e0fce8/images/8b71f15ddfda77a21b8acbad9fa9a49aa6927111cb5bb816aa04f3c1253cdc13.jpeg', 'source': 'britannica.com', 'title': 'Agra | India | Britannica', 'link': 'https://www.britannica.com/place/Agra', 'original': 'https://cdn.britannica.com/25/155325-050-79CFFB62/Taj-Mahal-Agra-India.jpg', 'is_product': False}, {'position': 4, 'thumbnail': 'https://serpapi.com/searches/6311fe8f272aa519a9e0fce8/images/8b71f15ddfda77a28e6333f6eaf9e7998bab2cd5aa4afa9a9ab383682336df40.jpeg', 'source': 'britannica.com', 'title': 'Taj Mahal | Definition, Story, Site, History, & Facts | Britannica', 'link': 'https://www.britannica.com/topic/Taj-Mahal', 'original': 'https://cdn.britannica.com/86/170586-050-AB7FEFAE/Taj-Mahal-Agra-India.jpg', 'is_product': False}, {'position': 5, 'thumbnail': 'https://serpapi.com/searches/6311fe8f272aa519a9e0fce8/images/8b71f15ddfda77a21ef0631e946a45b5eae6f64d95e088066c8a92092aa53eff.jpeg', 'source': 'outoftownblog.com', 'title': 'Top 15 Best Things to Do in Agra, India - Out of Town Blog', 'link': 'https://outoftownblog.com/things-to-do-in-agra/', 'original': 'https://outoftownblog.com/wp-content/uploads/2020/08/Beautiful-Taj-Mahal-in-Agra-by-Sylwia-Bartyzel-via-Wikipedia-CC.jpg', 'is_product': False}]"

"Taipei, Taiwan","[{'position': 1, 'thumbnail': 'https://serpapi.com/searches/6311fe92224db11f16e2f03f/images/2a97dcd168aeed55c115cec8c1cd05e8abb373805f1e86c0d256b2a200914cfa.jpeg', 'source': 'businessinsider.com', 'title': ""Taipei, Taiwan: Millionaire Lifestyle in Asia's 'Stealthy Rich City'"", 'link': 'https://www.businessinsider.com/living-as-a-millionaire-in-taipei-taiwan-homes-lifestyle-photos-2019-5', 'original': 'https://i.insider.com/5cddaee0021b4c06d6337b93?width=1000&format=jpeg&auto=webp', 'is_product': False}, {'position': 2, 'thumbnail': 'https://serpapi.com/searches/6311fe92224db11f16e2f03f/images/2a97dcd168aeed55c5eebc74e23abd00b4aff8282e4ae104715df9aa47792ae1.jpeg', 'source': 'nomadicmatt.com', 'title': 'The 13 Best Things to See and Do in Taipei in 2022', 'link': 'https://www.nomadicmatt.com/travel-blogs/things-to-see-and-do-taipei/', 'original': 'https://media.nomadicmatt.com/2021/taipeithings1a.jpg', 'is_product': False}, {'position': 3, 'thumbnail': 'https://serpapi.com/searches/6311fe92224db11f16e2f03f/images/2a97dcd168aeed55f33ae658c2cde306f740299c2d2beaaae3e8f28eae532428.jpeg', 'source': 'earthtrekkers.com', 'title': 'Taipei, Taiwan in Photos – Taiwan – Earth Trekkers', 'link': 'https://www.earthtrekkers.com/taipei-taiwan-photos/', 'original': 'https://s27363.pcdn.co/wp-content/uploads/2020/06/Taipei-Street.jpg.optimal.jpg', 'is_product': False}, {'position': 4, 'thumbnail': 'https://serpapi.com/searches/6311fe92224db11f16e2f03f/images/2a97dcd168aeed55230ec78d6314c0db183669efa02837562cca3d1ecd63f490.jpeg', 'source': 'thetravelhack.com', 'title': 'Things to do in Taipei, Taiwan - The Travel Hack', 'link': 'https://thetravelhack.com/taiwan/things-to-do-in-taipei/', 'original': 'https://thetravelhack.com/wp-content/uploads/2020/03/Raohe-Night-Market-copy.jpg', 'is_product': False}, {'position': 5, 'thumbnail': 'https://serpapi.com/searches/6311fe92224db11f16e2f03f/images/2a97dcd168aeed5582ffb3c385cfd1743bd0876f4df8adf0c1b51b46f3c198ce.jpeg', 'source': 'tripsavvy.com', 'title': 'Top 15 Things To Do In Taipei', 'link': 'https://www.tripsavvy.com/best-things-to-do-in-taipei-5079148', 'original': 'https://www.tripsavvy.com/thmb/SKyCbMjenZdvKc2q4i92v9NoOiA=/5616x3159/smart/filters:no_upscale()/taipei-city-view--taiwan-536036847-c66e7b1e3dd7483dabdc2413825cb057.jpg', 'is_product': False}]"

"Pattaya, ThailandÂ ","[{'position': 1, 'thumbnail': 'https://serpapi.com/searches/6311fe980a90c7aab22125fa/images/031f19c88e725b24d246c32636c62b49c3c3cd41191bba4283978a1c5271291f.jpeg', 'source': 'tripsavvy.com', 'title': 'The Top Things to Do in Pattaya, Thailand', 'link': 'https://www.tripsavvy.com/top-things-to-do-in-pattaya-thailand-4580626', 'original': 'https://www.tripsavvy.com/thmb/ElmAqGnt_qyDwYLbnn_bw38neSU=/1024x683/filters:no_upscale():max_bytes(150000):strip_icc()/Pattaya-Walking-Street-5c16f18646e0fb0001af3c57.jpg', 'is_product': False}, {'position': 2, 'thumbnail': 'https://serpapi.com/searches/6311fe980a90c7aab22125fa/images/031f19c88e725b24141705412d87905339e2ddb9f64e8d0c92536f6dc823a92d.jpeg', 'source': 'tripadvisor.com', 'title': 'Pattaya, Thailand 2022: Best Places to Visit - Tripadvisor', 'link': 'https://www.tripadvisor.com/Tourism-g293919-Pattaya_Chonburi_Province-Vacations.html', 'original': 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/15/33/fb/5c/pattaya.jpg?w=700&h=500&s=1', 'is_product': False}, {'position': 3, 'thumbnail': 'https://serpapi.com/searches/6311fe980a90c7aab22125fa/images/031f19c88e725b24c7046ca9199e2169241d428583ee81043b362434e9ae1389.jpeg', 'source': 'tripsget.com', 'title': 'What to expect from a holiday in Pattaya, Thailand? Hotels and Nightlife', 'link': 'https://tripsget.com/all-you-need-to-know-about-pattaya-things-to-do/', 'original': 'https://tripsget.com/wp-content/uploads/2016/03/Screen-Shot-2016-03-29-at-22.34.14.png', 'is_product': False}, {'position': 4, 'thumbnail': 'https://serpapi.com/searches/6311fe980a90c7aab22125fa/images/031f19c88e725b247f4987019716e25995316c620f2f8424c065fc7609d00081.jpeg', 'source': 'en.wikipedia.org', 'title': 'Pattaya - Wikipedia', 'link': 'https://en.wikipedia.org/wiki/Pattaya', 'original': 'https://upload.wikimedia.org/wikipedia/commons/0/04/Montage_Pattaya.jpg', 'is_product': False}, {'position': 5, 'thumbnail': 'https://serpapi.com/searches/6311fe980a90c7aab22125fa/images/031f19c88e725b244ebde5b0e78425e7d8e5930be6bf6fee43fbb33c363e19e6.jpeg', 'source': 'toasttothailand.com', 'title': 'Pattaya Walking Street: 11 Things To Do & Not To Do | Toast to Thailand', 'link': 'https://toasttothailand.com/pattaya-things-to-do/walking-street-pattaya/', 'original': 'https://i0.wp.com/toasttothailand.com/wp-content/uploads/2019/03/pattaya-walking-street-1.jpg?fit=1024%2C632&ssl=1', 'is_product': False}]"

