name,images

"Paris, France","[{'position': 1, 'thumbnail': 'https://serpapi.com/searches/6311fe5fef7dda4f202e2551/images/b14e3085898a6f1652e2d66cd68005cb7a04620a3e4b7d4a663960fdaa9fc979.jpeg', 'source': 'en.wikipedia.org', 'title': 'Paris - Wikipedia', 'link': 'https://en.wikipedia.org/wiki/Paris', 'original': 'https://upload.wikimedia.org/wikipedia/commons/thumb/4/4b/La_Tour_Eiffel_vue_de_la_Tour_Saint-Jacques%2C_Paris_ao%C3%BBt_2014_%282%29.jpg/640px-La_Tour_Eiffel_vue_de_la_Tour_Saint-Jacques%2C_Paris_ao%C3%BBt_2014_%282%29.jpg', 'is_product': False}, {'position': 2, 'thumbnail': 'https://serpapi.com/searches/6311fe5fef7dda4f202e2551/images/b14e3085898a6f1693422940d91083904c68ea56843dc6bb01f96ed82fba8acf.jpeg', 'source': 'travelpulse.com', 'title': 'Paris, France - Travel Guide and Latest News | TravelPulse', 'link': 'https://www.travelpulse.com/destinations/europe/france/paris.html', 'original': 'https://cdn.travelpulse.com/images/faa9edf4-a957-df11-b491-006073e71405/c0594e9a-dd27-41b9-b02b-0c0362deadce/630x355.jpg', 'is_product': False}, {'position': 3, 'thumbnail': 'https://serpapi.com/searches/6311fe5fef7dda4f202e2551/images/b14e3085898a6f16f6612591c93435be17e3e1fdc8b1664d01a3ff457d4b8d05.jpeg', 'source': 'travelandleisure.com', 'title': '12 Eiffel Tower Facts: History, Science, and Secrets in Paris', 'link': 'https://www.travelandleisure.com/attractions/landmarks-monuments/eiffel-tower-facts', 'original': 'https://www.travelandleisure.com/thmb/nXgxWnxhr1KbeoKq3UKXmiTvyGk=/1333x1000/smart/filters:no_upscale()/eiffel-tower-paris-france-EIFFEL0217-6ccc3553e98946f18c893018d5b42bde.jpg', 'is_product': False}, {'position': 4, 'thumbnail': 'https://serpapi.com/searches/6311fe5fef7dda4f202e2551/images/b14e3085898a6f16dc11f4ea011c734d2303e829bea130e37877e7cd966bf0e4.jpeg', 'source': 'traveltriangle.com', 'title': '31 Best Places To Visit In Paris For A Fancy Trip In 2022', 'link': 'https://traveltriangle.com/blog/places-to-visit-in-paris/', 'original': 'https://img.traveltriangle.com/blog/wp-content/uploads/2019/01/Places-To-Visit-In-Paris_11th-jun1.jpg', 'is_product': False}, {'position': 5, 'thumbnail': 'https://serpapi.com/searches/6311fe5fef7dda4f202e2551/images/b14e3085898a6f16a7a14c34ecdb6694532b85cb67ac90e9407b74e1a8bdc007.jpeg', 'source': 'destguides.com', 'title': 'Do You Know These 50 Fun Facts About Paris France?', 'link': 'https://www.destguides.com/en/itineraries/france/ile-de-france/paris/fun-facts-about-paris-france', 'original': 'https://www.destguides.com/dynamic-files/itinerary/367/background-image-4x3.jpg', 'is_product': False}]"

"Dubai, United Arab Emirates","[{'position': 1, 'thumbnail': 'https://serpapi.com/searches/6311fe634b91eb4d90a5adeb/images/6533f8d422a4fc7296db8b86907fdec922ce43cdff4cb5f8e53939c9f35dbc66.jpeg', 'source': 'hotels.com', 'title': 'United Arab Emirates - What you need to know before you go – Go Guides', 'link': 'https://www.hotels.com/go/united-arab-emirates', 'original': 'https://a.cdn-hotels.com/gdcs/production121/d772/6b5a9a4c-fd06-4bcf-b2f0-d979e3704cf9.jpg', 'is_product': False}, {'position': 2, 'thumbnail': 'https://serpapi.com/searches/6311fe634b91eb4d90a5adeb/images/6533f8d422a4fc72ad52999b34aeba57879cdb956127e39962f5370b670e2576.jpeg', 'source': 'britannica.com', 'title': 'Dubai (city) | Geography, Creek, & History | Britannica', 'link': 'https://www.britannica.com/place/Dubai-United-Arab-Emirates', 'original': 'https://cdn.britannica.com/15/189715-050-4310222B/Dubai-United-Arab-Emirates-Burj-Khalifa-top.jpg', 'is_product': False}, {'position': 3, 'thumbnail': 'https://serpapi.com/searches/6311fe634b91eb4d90a5adeb/images/6533f8d422a4fc72ea9f039aa900ef5d22f295d8fd9c569d05d590cd5a3bd330.jpeg', 'source': 'hotels.com', 'title': 'United Arab Emirates - What you need to know before you go – Go Guides', 'link': 'https://www.hotels.com/go/united-arab-emirates', 'original': 'https://a.cdn-hotels.com/gdcs/production81/d94/cf4b5dbc-bbe8-4693-8240-ebec54aaf0de.jpg?impolicy=fcrop&w=800&h=533&q=medium', 'is_product': False}, {'position': 4, 'thumbnail': 'https://serpapi.com/searches/6311fe634b91eb4d90a5adeb/images/6533f8d422a4fc72ebee4cf53b409dfcb9764f0439311e3053587811ca74e75a.jpeg', 'source': 'britannica.com', 'title': 'Dubai (city) | Geography, Creek, & History | Britannica', 'link': 'https://www.britannica.com/place/Dubai-United-Arab-Emirates', 'original': 'https://cdn.britannica.com/27/178627-050-AF162D33/Palm-Jumeirah-Dubai-United-Arab-Emirates-International-2005.jpg', 'is_product': False}, {'position': 5, 'thumbnail': 'https://serpapi.com/searches/6311fe634b91eb4d90a5adeb/images/6533f8d422a4fc72f00f48f3a1e511662b5cfd38b707a7034b2b46d15ec23b6d.jpeg', 'source': 'nationsonline.org', 'title': 'Google Map of United Arab Emirates (UAE) - Nations Online Project', 'link': 'https://www.nationsonline.org/oneworld/map/google_map_arab_emirates.htm', 'original': 'https://www.nationsonline.org/gallery/UAE/Dubai-Palm-Jumeirah.jpg', 'is_product': False}]"

"Delhi, India","[{'position': 1, 'thumbnail': 'https://serpapi.com/searches/6311fe693c3fb2f3ee54a549/images/07a6a4aaed7b010c6661b551c79947169376a6e5d4656d2e35236bdc247cd2b1.jpeg', 'source': 'britannica.com', 'title': 'Delhi | History, Population, Map, & Facts | Britannica', 'link': 'https://www.britannica.com/place/Delhi', 'original': 'https://cdn.britannica.com/37/189837-050-F0AF383E/New-Delhi-India-War-Memorial-arch-Sir.jpg', 'is_product': False}, {'position': 2, 'thumbnail': 'https://serpapi.com/searches/6311fe693c3fb2f3ee54a549/images/07a6a4aaed7b010cca617bbde422f2fec8c8c640f1ffdddc7bc3c708146ca2dc.jpeg', 'source': 'en.wikipedia.org', 'title': 'Delhi - Wikipedia', 'link': 'https://en.wikipedia.org/wiki/Delhi', 'original': 'https://upload.wikimedia.org/wikipedia/commons/thumb/9/96/Delhi_Red_fort.jpg/250px-Delhi_Red_fort.jpg', 'is_product': False}, {'position': 3, 'thumbnail': 'https://serpapi.com/searches/6311fe693c3fb2f3ee54a549/images/07a6a4aaed7b010cc374e3c5a52e9e4fd80730064b4a899a66fb48541017aef6.jpeg', 'source': 'britannica.com', 'title': 'Delhi | History, Population, Map, & Facts | Britannica', 'link': 'https://www.britannica.com/place/Delhi', 'original': 'https://cdn.britannica.com/16/189816-050-5B006088/neighbourhood-Paharganj-New-Delhi-India.jpg', 'is_product': False}, {'position': 4, 'thumbnail': 'https://serpapi.com/searches/6311fe693c3fb2f3ee54a549/images/07a6a4aaed7b010c6451caefdde62a86adfcd5d9fdecdb9514a4669b7284e91d.jpeg', 'source': 'lonelyplanet.com', 'title': ""20 of the best things to do in Delhi, India's historic capital - Lonely  Planet"", 'link': 'https://www.lonelyplanet.com/articles/20-great-things-to-do-in-delhi-india', 'original': 'https://lp-cms-production.imgix.net/2021-10/shutterstock_1434565511.jpg?auto=format&q=40&ar=16%3A9&fit=crop', 'is_product': False}, {'position': 5, 'thumbnail': 'https://serpapi.com/searches/6311fe693c3fb2f3ee54a549/images/07a6a4aaed7b010c4fdc782578950a6c90717c274de8944afcb5f9ccef0068fe.jpeg', 'source': 'bbc.com', 'title': 'The Asian city that caters to everyone - BBC Travel', 'link': 'https://www.bbc.com/travel/article/20170512-the-asian-city-that-caters-to-everyone', 'original': 'https://ychef.files.bbci.co.uk/976x549/p052347y.jpg', 'is_product': False}]"

"Istanbul, Turkey","[{'position': 1, 'thumbnail': 'https://serpapi.com/searches/6311fe6c1d64ead153461d71/images/df07f5c2a25f1255d08b260970e1b4c7db29f17985ab067075934ff2af864baa.jpeg', 'source': 'travelpulse.com', 'title': 'Istanbul, Turkey - Travel Guide and Latest News | TravelPulse', 'link': 'https://www.travelpulse.com/destinations/asia/turkey/istanbul.html', 'original': 'https://cdn.travelpulse.com/images/65aaedf4-a957-df11-b491-006073e71405/c8f899f1-a4af-4ea3-b5dd-447ebbaeb40e/630x355.jpg', 'is_product': False}, {'position': 2, 'thumbnail': 'https://serpapi.com/searches/6311fe6c1d64ead153461d71/images/df07f5c2a25f1255c3f5be8619af96e248e4102c60a5d21865033bb6e552d704.jpeg', 'source': 'tourscanner.com', 'title': '62 Fun & Unusual Things to Do in Istanbul, Turkey - TourScanner', 'link': 'https://tourscanner.com/blog/things-to-do-in-istanbul/', 'original': 'https://tourscanner.com/blog/wp-content/uploads/2021/08/things-to-do-in-Istanbul-Turkey.jpg', 'is_product': False}, {'position': 3, 'thumbnail': 'https://serpapi.com/searches/6311fe6c1d64ead153461d71/images/df07f5c2a25f1255c9f7ace9f190a3c6bb911de6050ff8e34319e5d6a29f3686.jpeg', 'source': 'theplanetd.com', 'title': '27 Best Things to do in Istanbul, Turkey - The Planet D', 'link': 'https://theplanetd.com/things-to-do-in-istanbul-turkey/', 'original': 'https://theplanetd.com/images/Best-Things-to-do-in-Istanbul-Turkey.jpg', 'is_product': False}, {'position': 4, 'thumbnail': 'https://serpapi.com/searches/6311fe6c1d64ead153461d71/images/df07f5c2a25f1255035d6bff5bc490969d0ab44031319fd8b3db33338d419a22.jpeg', 'source': 'britannica.com', 'title': '5 Buildings to See in Istanbul, Turkey | Britannica', 'link': 'https://www.britannica.com/list/5-buildings-to-see-in-istanbul', 'original': 'https://cdn.britannica.com/95/171195-131-42DB3CAA/Suleymaniye-Mosque-River-Bosporus-Istanbul-Turkey.jpg', 'is_product': False}, {'position': 5, 'thumbnail': 'https://serpapi.com/searches/6311fe6c1d64ead153461d71/images/df07f5c2a25f12550d7e7bdda52898f2d541b4e7fac9e383b20c267373e98682.jpeg', 'source': 'contexttravel.com', 'title': 'When is the Best Time to Visit Istanbul, Turkey? - Context Travel', 'link': 'https://www.contexttravel.com/blog/articles/best-time-to-visit-turkey', 'original': 'https://cdn.contexttravel.com/image/upload/w_1500,q_60/v1630703552/blog/When%20is%20the%20Best%20Time%20to%20Visit%20Istanbul%2C%20Turkey:%20best-time-to-visit-turkey/bttvt_hero.png', 'is_product': False}]"

"Kuala Lumpur, MalaysiaÂ ","[{'position': 1, 'thumbnail': 'https://serpapi.com/searches/6311fe6e359e994206388a52/images/c7e5bb6dea45fb38aa2e388fc7be43adfa8daa27493782bc5b8de65b35ca7f0b.jpeg', 'source': 'britannica.com', 'title': 'Kuala Lumpur | Malaysia, History, Map, Population, & Facts | Britannica', 'link': 'https://www.britannica.com/place/Kuala-Lumpur', 'original': 'https://cdn.britannica.com/49/102749-050-B4874C95/Kuala-Lumpur-Malaysia.jpg', 'is_product': False}, {'position': 2, 'thumbnail': 'https://serpapi.com/searches/6311fe6e359e994206388a52/images/c7e5bb6dea45fb382ab66c6a27b3c72d0836edb5e06a81c2d5ebc228f7335bcf.jpeg', 'source': 'cntraveller.com', 'title': ""A local's guide to Kuala Lumpur, Malaysia | CN Traveller"", 'link': 'https://www.cntraveller.com/article/kuala-lumpur-malaysia-yuna-locals-guide', 'original': 'https://media.cntraveller.com/photos/61320af0a0d9e76a94db6bbb/3:2/w_4500,h_3000,c_limit/KualaLumpur%20Malaysia%20GettyImages-509105016.jpg', 'is_product': False}, {'position': 3, 'thumbnail': 'https://serpapi.com/searches/6311fe6e359e994206388a52/images/c7e5bb6dea45fb386dcf206afe5bd08aa2e43d30fee8036f12404237c8aa9452.jpeg', 'source': 'thecrazytourist.com', 'title': '25 Best Things to Do in Kuala Lumpur (Malaysia) - The Crazy Tourist', 'link': 'https://www.thecrazytourist.com/top-25-things-to-do-in-kuala-lumpur/', 'original': 'https://cdn.thecrazytourist.com/wp-content/uploads/2018/08/ccimage-shutterstock_571221049.jpg', 'is_product': False}, {'position': 4, 'thumbnail': 'https://serpapi.com/searches/6311fe6e359e994206388a52/images/c7e5bb6dea45fb38b4526163a04c0a7046ecf82018c9b0b988201ea22ad7d3b4.jpeg', 'source': 'planetware.com', 'title': '12 Top-Rated Tourist Attractions in Kuala Lumpur | PlanetWare', 'link': 'https://www.planetware.com/malaysia/top-rated-tourist-attractions-in-kuala-lumpur-mal-1-2.htm', 'original': 'https://www.planetware.com/wpimages/2019/10/malaysia-kuala-lumpur-top-attractions-petronas-twin-towers-sunset.jpg', 'is_product': False}, {'position': 5, 'thumbnail': 'https://serpapi.com/searches/6311fe6e359e994206388a52/images/c7e5bb6dea45fb388120da3d093e490d46fe827cc81a7e8856199068ff3fcc2e.jpeg', 'source': 'cities.new7wonders.com', 'title': 'Kuala Lumpur | New7Wonders Cities', 'link': 'https://cities.new7wonders.com/wonders/kuala-lumpur/', 'original': 'https://cdn.new7wonders.com/app/uploads/sites/5/2016/09/Malaysia-Kuala-Lumpur.jpg', 'is_product': False}]"
